occurrence_no,name,diet,type,length_m,max_ma,min_ma,region,lng,lat,class,family,years
287920,Triceratops,herbivorous,ceratopsian,9,70.6,66,Wyoming,-104.366669,43.299999,Ornithischia,Ceratopsidae,68.3
291022,Thescelosaurus,herbivorous,ornithopod,3.5,70.6,66,Colorado,-104.491669,40.386391,Ornithischia,Thescelosauridae,68.3
291023,Triceratops,herbivorous,ceratopsian,9,70.6,66,Colorado,-104.491669,40.386391,Ornithischia,Ceratopsidae,68.3
296498,Stegosaurus,herbivorous,armored dinosaur,9,157.3,145,Colorado,-105.192596,39.675598,Ornithischia,Stegosauridae,151.15
297018,Nodosaurus,herbivorous,armored dinosaur,5,99.6,93.5,Wyoming,-105.924446,42.893055,Ornithischia,Nodosauridae,96.55
297287,Rhabdodon,herbivorous,ornithopod,4,83.5,70.6,Provence-Alpes-Côte d'Azur,6.106141,43.606697,Ornithischia,Rhabdodontidae,77.05
297616,Anchiceratops,herbivorous,ceratopsian,6,72.1,66,Alberta,-112.783333,51.840279,Ornithischia,Ceratopsidae,69.05
297694,Rhabdodon,herbivorous,ornithopod,4,83.5,70.6,Castilla y Leon,-2.634513,42.664555,Ornithischia,Rhabdodontidae,77.05
300498,Psittacosaurus,herbivorous,ceratopsian,2,145,100.5,Xinjiang,85.666664,46.099998,Ornithischia,Psittacosauridae,122.75
367091,Silvisaurus,herbivorous,armored dinosaur,4,113,100.5,Kansas,-97.454498,39.198002,Ornithischia,Nodosauridae,106.75
